feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Days_before_NEC_onset
DLFM10_00831.F7_CIP_8.gene.2...320.1108.complete,NEC_status,Control,-18.2703665825611,4.09831056386106,44,19,0.00221540202745837,0.0427293692706935,6_7
X499413378.WP_011100845_1.1.1.erm.T..erm.T..target_modification.2.MACROLIDE.MACROLIDE.23S_rRNA_.adenine.2058..N.6...methyltransferase_Erm.T.,NEC_status,Control,-34.77657280968,8.28482295231587,44,24,0.00303159624228465,0.054622547679034,6_7
X619129.CAA58526_1.1.1.pcoB.pcoB..1.COPPER.COPPER.copper.binding_protein_PcoB,NEC_status,Control,-34.9746168988372,7.75913732966271,44,34,0.0034005645435417,0.0600273567251274,6_7
DLFM06_00778.2.B7_AMC_9.gene.5...3689.4450.complete,NEC_status,Control,-51.1958851457077,12.5242069436176,44,19,0.00355488454035831,0.0619878220494835,6_7
X1028111146.WP_063865358_1.1.1.oqxA2.oqxA.efflux.2.PHENICOL_QUINOLONE.PHENICOL_QUINOLONE.multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_OqxA2,NEC_status,Control,-30.8510022800221,8.12235402524764,44,19,0.00524948424926026,0.0848556312620968,6_7
X501846383.WP_012655884_1.1.2.aac.6_..Ie.aac.6_..Ie.acetyltransferase.2.AMIKACIN_KANAMYCIN_TOBRAMYCIN.AMINOGLYCOSIDE.bifunctional_aminoglycoside_N.acetyltransferase_AAC.6_..Ie_aminoglycoside_O.phosphotransferase_APH.2__..Ia,NEC_status,Control,-17.1149381704209,4.66389290914661,44,9,0.00631250628356363,0.0981318781541864,6_7
X619130.CAA58527_1.1.1.pcoC.pcoC..1.COPPER.COPPER.copper_resistance_system_metallochaperone_PcoC,NEC_status,Control,-38.6660040096371,10.9648520114058,44,34,0.00777327343520347,0.115602528010718,6_7
DLFM06_01321.1.G3_CHL_2.gene.1...292.624.complete,NEC_status,Control,28.886440071999,8.27288698078265,44,25,0.00818192462174158,0.120212113260329,6_7
DLFM10_03608.F3_ATM_7.gene.3...1609.1983.complete,NEC_status,Control,34.1907522571315,10.2470382236627,44,8,0.0103088088680393,0.144406316288348,6_7
DLFM06_01043.1.H5_CHL_6.gene.5...3088.4350.complete,NEC_status,Control,-31.1954604384693,9.59098049764007,44,17,0.0116572646783797,0.160344984508938,6_7
X619131.CAA58528_1.1.1.pcoD.pcoD..1.COPPER.COPPER.copper_resistance_inner_membrane_protein_PcoD,NEC_status,Control,-23.7760685381371,7.58364905098703,44,34,0.0139061616067745,0.183308493907482,6_7
DLFM04_01421.AmoxDisc.TwinB.Time3_PIP_75.gene.1...460.768.complete,NEC_status,Control,-1.48663807764103,0.407554572877995,44,5,0.0145454609427677,0.190191856449717,6_7
X4206624.AAD11743_1.1.1.silE.silE..1.SILVER.SILVER.silver.binding_protein_SilE,NEC_status,Control,-34.2256416457536,11.1784240341934,44,34,0.0155410431414234,0.200625231014877,6_7
X619133.CAA58530_1.1.1.pcoS.pcoS..1.COPPER.COPPER.copper_resistance_membrane_spanning_protein_PcoS,NEC_status,Control,42.046241597497,13.5829826816787,44,35,0.0156462314978833,0.201236641651762,6_7
DLFM06_01734.1.B6_TET_5.gene.1...339.1535.complete,NEC_status,Control,-18.8245099124979,6.25272127907694,44,4,0.0167986295240829,0.213800739397418,6_7
DOME_00303.P10.TE_35.gene.2...164.1051.complete,NEC_status,Control,0.768392722171848,0.259127020455791,44,2,0.0179995253989373,0.226481631569274,6_7
DLFM06_00839.1.H8_PEN_88.gene.1...21.716.complete,NEC_status,Control,56.8530873784668,19.24649323938,44,15,0.018318777857454,0.229716960968928,6_7
DOME_01680.P9.TR.SX_328.gene.2...152.421.complete,NEC_status,Control,1.17899860905077,0.404365589989795,44,2,0.0194691307784353,0.240867458487904,6_7
DLFM06_01043.1.H5_CHL_6.gene.5...3088.4350.complete,NEC_status,Control,-0.731185457656008,0.0249396943083874,43,13,1.38312228063213e-8,7.5771046678108e-6,7_8
X40218082.AAR82964_1.1.1.nirB.nirB..1.NICKEL.NICKEL.nickel.sensing_transcriptional_repressor_NirB,NEC_status,Control,5.55172819724101,0.196588720596566,43,8,1.79423690288987e-8,9.04295399056496e-6,7_8
X547452244.WP_022071788_1.1.1.lnu.P..lnu.P..nucleotidyltransferase.2.LINCOSAMIDE.LINCOSAMIDE.lincosamide_nucleotidyltransferase_Lnu.P.,NEC_status,Control,-1.34710601728346,0.142361503957763,43,4,3.0758000359463e-5,0.00447804018718388,7_8
X18476187.AAL05407_1.1.1.tcrB.tcrB..1.COPPER.COPPER.copper.translocating_P.type_ATPase_TcrB,NEC_status,Control,4.76761769018478,0.583789696865086,43,6,7.98861785877203e-5,0.00954090853275143,7_8
gb.CAC41008_1.ARO_3004041.Kpne_acrA__Klebsiella_pneumoniae_,NEC_status,Control,-5.24680387812128,0.647924357111911,43,15,8.43334785679501e-5,0.00993085822388945,7_8
DLFM06_00331.4.C8_TET_2.gene.2...267.1019.complete,NEC_status,Control,-3.36753010794757,0.494423700663714,43,11,2.50684868325826e-4,0.0238387120068333,7_8
X446655928.WP_000733274_1.1.1.blaZ.blaZ.hydrolase.2.BETA.LACTAM.BETA.LACTAM.penicillin.hydrolyzing_class_A_beta.lactamase_BlaZ,NEC_status,Control,1.77669022522446,0.263619227343356,43,9,2.67541779532415e-4,0.0250633934729251,7_8
DLFM06_01603.1.E2_FOX_2.gene.6...4656.5159.complete,NEC_status,Control,-0.762569833352109,0.129015750366349,43,16,5.93061687950105e-4,0.0486498944628537,7_8
DLFM07_00940.03G.000_TET_22.gene.1...213.1565.complete,NEC_status,Control,3.37842834077638,0.701118418301136,43,5,0.00192449914068226,0.11465101263639,7_8
X985479976.WP_002295408_1.1.1.liaF.liaF.mutation.2...three.component_signaling_pathway_regulator_LiaF,NEC_status,Control,-0.76864953952845,0.165715451475744,43,4,0.00237415686459053,0.13295278441707,7_8
DLFM06_02465.5.B1_AMC_1.gene.2...746.1165.complete,NEC_status,Control,0.139352293751544,0.0347693735134216,43,6,0.00513799093421073,0.228628066203926,7_8
X1028101879.WP_063857727_1.1.1.blaACT.1.blaACT.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.cephalosporin.hydrolyzing_class_C_beta.lactamase_ACT.1,NEC_status,Control,-1.63138360061208,0.412734566513479,43,6,0.00551347609838184,0.239551030481418,7_8
EFFLUX,NEC_status,Control,-48.4118912900301,9.37429549812187,40,28,4.22570993978446e-4,0.013668546382149,8_9
GLYCOPEPTIDE,NEC_status,Control,14.8646778556999,4.26091615164816,40,7,0.00583654979757621,0.104436986803438,8_9
SULFONAMIDE,NEC_status,Control,-15.0962598256734,4.37562000570862,40,10,0.00622533181169278,0.10641453482615,8_9
COLISTIN,NEC_status,Control,-23.4686411414117,8.60363963249598,40,28,0.0212769175403759,0.201243730158173,8_9
DLFM06_00586.2.B8_TET_21.gene.1...111.512.complete,NEC_status,Control,5.3290335827757,0.0452873536598316,40,3,4.81890554922376e-17,4.56278071928252e-13,8_9
X1425126167.WP_112780466_1.1.1.blaACT.63.blaACT.hydrolase.2...cephalosporin.hydrolyzing_class_C_beta.lactamase_ACT.63,NEC_status,Control,18.7906244635211,1.56709406309651,40,4,2.95724347681426e-7,1.33336475524837e-4,8_9
DLFM13_06902.CBP23SR2_FOX_23.gene.6...1820.2140.complete,NEC_status,Control,12.5898223397435,1.05756520138768,40,6,3.15300927176485e-7,1.35701219498661e-4,8_9
DLFM10_00788.F22_FOX_2.gene.4...1203.1763.complete,NEC_status,Control,-23.0879150537328,2.75058228579949,40,11,7.72268707638542e-6,0.00221582613887137,8_9
X1028083027.WP_063842183_1.1.1.aph.6..Id.aph.6..Id.phosphotransferase.2.STREPTOMYCIN.AMINOGLYCOSIDE.aminoglycoside_O.phosphotransferase_APH.6..Id,NEC_status,Control,-2.65259082164824,0.353198790597758,40,4,2.04047010481037e-5,0.00419973498354756,8_9
X487566233.WP_001718014_1.1.1.fabG.fabG.mutation.2...beta.ketoacyl.ACP_reductase_FabG,NEC_status,Control,-24.9213470328686,3.55357326270363,40,13,3.66044516734783e-5,0.00582502942303074,8_9
DLFM13_06428.CBP22SR2_CHL_31.gene.5...2731.3279.complete,NEC_status,Control,-3.9449139724823,0.654881577003378,40,2,1.27985437766799e-4,0.0134647790832771,8_9
DLFM06_01734.1.B6_TET_5.gene.1...339.1535.complete,NEC_status,Control,19.5089555939209,3.48971778323343,40,5,2.307589063706e-4,0.0211105382122707,8_9
DLFM13_06906.CBP23SR2_FOX_33.gene.7...4155.5273.complete,NEC_status,Control,19.6830621422878,3.59549558230082,40,4,2.71397425635764e-4,0.0232554436618302,8_9
X545049956.WP_021424053_1.1.1.aph.2__..If.aph.2__..If.phosphotransferase.2.AMIKACIN_GENTAMICIN_KANAMYCIN_TOBRAMYCIN.AMINOGLYCOSIDE.aminoglycoside_O.phosphotransferase_APH.2__..If,NEC_status,Control,8.21274060794706,1.50796747915779,40,4,2.82494644325563e-4,0.0240973021603297,8_9
X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB,NEC_status,Control,-6.07118252126001,1.14372895813928,40,11,3.43483726671596e-4,0.0272156959497072,8_9
DOME_05670.P5.CH_5.gene.1...96.587.complete,NEC_status,Control,1.25485678072022,0.240364217893005,40,2,3.89621899564315e-4,0.0295130796481977,8_9
DLFM06_01963.1.A5_AMC_5.gene.3...772.2004.complete,NEC_status,Control,-17.6052826638846,3.72055795087694,40,12,8.01957887845787e-4,0.05103041661318,8_9
X1028101879.WP_063857727_1.1.1.blaACT.1.blaACT.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.cephalosporin.hydrolyzing_class_C_beta.lactamase_ACT.1,NEC_status,Control,8.10093338893946,1.77230054879469,40,5,0.00102569416475002,0.0603216471983576,8_9
gb.AAC75136_1.ARO_3000793.mdtB__Escherichia_coli,NEC_status,Control,-20.3712722356575,4.58989355182025,40,10,0.00125786382768358,0.0686686205613315,8_9
DLFM10_02618.F9_AMX_41.gene.2...323.925.complete,NEC_status,Control,12.9503030807754,3.0117560480908,40,4,0.00156183394153968,0.078603067442283,8_9
gb.BAJ42218_1.ARO_3004612.Ecol_ampH_BLA__Escherichia_coli,NEC_status,Control,-12.1814275504029,2.83310034485778,40,10,0.00156235065596691,0.078603067442283,8_9
X291431185.EFF04178_1.1.1.emrD.emrD.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_MFS_transporter_EmrD,NEC_status,Control,-46.2993069352515,11.1793818667099,40,27,0.00200779691133103,0.0934192877392525,8_9
X557273138.WP_000879194_1.1.1.uhpT.uhpT.mutation.2...hexose_phosphate_transporter_UhpT,NEC_status,Control,42.9764180526063,11.5784470657003,40,28,0.00402961803728965,0.148774244378106,8_9
X75707023.ABA25986_1.1.1.merF.merF..1.MERCURY.MERCURY.mercury_resistance_system_transport_protein_MerF,NEC_status,Control,-17.1867511589256,4.79032858652759,40,5,0.00494766192560831,0.167012252914875,8_9
X29344842.WP_002355137_1.1.1.liaR.liaR.mutation.2...response_regulator_transcription_factor_LiaR,NEC_status,Control,63.5294363205203,18.0243051793339,40,30,0.00549572467339126,0.174145179089485,8_9
X446687385.WP_000764731_1.1.1.folP.folP.mutation.2...dihydropteroate_synthase_FolP,NEC_status,Control,-10.0071932185878,2.91713142376588,40,10,0.00643352686301203,0.193844636956729,8_9
X1134531375.APX31174_1.1.1.LHR_hdeD.LHR_hdeD..1...heat_resistance_membrane_protein_HdeD.GI,NEC_status,Control,11.5933189079501,3.46041118845719,40,24,0.0073619836566305,0.209693328125886,8_9
gb.EOD99669_1.ARO_3002875.dfrE__Enterococcus_faecalis,NEC_status,Control,55.8126236594531,16.7602378375626,40,23,0.00761840958098925,0.214430813057405,8_9
DLFM06_00652.2.B8_CHL_1.gene.4...2012.2881.complete,NEC_status,Control,-20.7409053522867,6.23729603674344,40,10,0.00767943922810662,0.214928504871819,8_9
X643377288.WP_025205684_1.1.1.fosA2.fos_A_A2.thiol_transferase.2.FOSFOMYCIN.FOSFOMYCIN.fosfomycin_resistance_glutathione_transferase_FosA2,NEC_status,Control,18.3392189151858,5.54223915195556,40,13,0.00789275724425773,0.218516292301913,8_9
DLFM06_01729.1.C6_AMP_3.gene.7...2838.3896.complete,NEC_status,Control,-21.0555808664372,6.54559610477133,40,7,0.00923179340374563,0.240854363740765,8_9
